raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Masakadza to King, 1 run 
full delivery just outside off stump. King comes forward and drives it down the ground 
to get off the mark 
Around the wicket to Mayers as well. Slip in place, like it was for King",0.1,1,1.0,"Masakadza to King, 1 run  .full delivery just outside off stump. King comes forward and drives it down the ground  .to get off the mark  .Around the wicket to Mayers as well. Slip in place, like it was for King",Masakadza,King,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Masakadza to Mayers, no run 
full delivery on leg stump. Mayers gets onto the front foot and pokes it straight to short 
mid wicket",0.2,0,0.0,"Masakadza to Mayers, no run  .full delivery on leg stump. Mayers gets onto the front foot and pokes it straight to short  .mid wicket",Masakadza,Mayers,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Masakadza to Mayers, no run 
full delivery outside leg stump. Mayers helps it round the corner but cannot get it past 
short fine leg",0.3,0,0.0,"Masakadza to Mayers, no run  .full delivery outside leg stump. Mayers helps it round the corner but cannot get it past  .short fine leg",Masakadza,Mayers,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Masakadza to Mayers, 1 wide 
full delivery that slides down the leg side. Mayers does not get bat on it as the umpire 
indulges in some exercise",0.4,1w,1.0,"Masakadza to Mayers, 1 wide  .full delivery that slides down the leg side. Mayers does not get bat on it as the umpire  .indulges in some exercise",Masakadza,Mayers,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Masakadza to Mayers, no run 
flighted on a full length on middle and off stump. Mayers pushes it back to the bowler",0.4,0,0.0,"Masakadza to Mayers, no run  .flighted on a full length on middle and off stump. Mayers pushes it back to the bowler",Masakadza,Mayers,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Masakadza to Mayers, 1 run 
full delivery on middle and leg stump. Mayers gets a big stride forward and knocks it 
down the ground to get off the mark",0.5,1,1.0,"Masakadza to Mayers, 1 run  .full delivery on middle and leg stump. Mayers gets a big stride forward and knocks it  .down the ground to get off the mark",Masakadza,Mayers,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Masakadza to King, no run 
back of a length delivery outside off that holds in the surface. King is too early into his 
stroke and chunks it off the inside edge into the on side 
end of over 13 runs  
WI: 3/0CRR: 3.00 • RRR: 5.42 • Need 266 runs from 49 overs 
Brandon King1 (2b) 
Kyle Mayers1 (4b) 
Wellington Masakadza 1-0-3-0 
Chatara to take the new ball from the other end",0.6,0,0.0,"Masakadza to King, no run  .back of a length delivery outside off that holds in the surface. King is too early into his  .stroke and chunks it off the inside edge into the on side",Masakadza,King,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Chatara to Mayers, FOUR runs 
shot! Back of a length delivery outside off stump. Mayers gets on top of the bounce and 
cracks it through cover for four! Holds the pose too!",1.1,4,4.0,"Chatara to Mayers, FOUR runs  .shot! Back of a length delivery outside off stump. Mayers gets on top of the bounce and  .cracks it through cover for four! Holds the pose too!",Chatara,Mayers,4.0,1,0,1,1,4.0,0,,1
"1.2 
4lb 
Chatara to Mayers, 4 leg byes 
four more! Back of a length delivery down the leg side. Mayers does not get bat on it 
this time but the ball pings off the thigh pad and bobbles away past the keeper",1.2,4lb,4.0,"Chatara to Mayers, 4 leg byes  .four more! Back of a length delivery down the leg side. Mayers does not get bat on it  .this time but the ball pings off the thigh pad and bobbles away past the keeper",Chatara,Mayers,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Chatara to Mayers, no run 
full delivery angled across the batter outside off stump. Mayers has a fish at it without 
any foot movement and is beaten on the outside",1.3,0,0.0,"Chatara to Mayers, no run  .full delivery angled across the batter outside off stump. Mayers has a fish at it without  .any foot movement and is beaten on the outside",Chatara,Mayers,0.0,0,0,1,1,0.0,0,,0
