template_id,category,question_template
1,innings_overall,Compute the total team score for an innings (MAX(team_runs)).
2,innings_overall,Compute total runs in an innings (SUM(runs)).
3,innings_overall,Compute total runs off the bat in an innings (SUM(batsman_runs)).
4,innings_overall,Compute implied extras in an innings (SUM(runs - batsman_runs)).
5,innings_overall,Compute total balls in an innings (COUNT(*)).
6,innings_overall,Compute total overs in an innings (COUNT(DISTINCT FLOOR(overs))).
7,innings_overall,Compute run rate for an innings (SUM(runs) / (COUNT(*)/6.0)).
8,innings_overall,Compute boundary balls in an innings (SUM(batsman_fours + batsman_sixes)).
9,innings_overall,Compute total fours in an innings (SUM(batsman_fours)).
10,innings_overall,Compute total sixes in an innings (SUM(batsman_sixes)).
11,innings_overall,Compute percentage of balls that are dots in an innings (AVG(CASE WHEN runs=0 THEN 1 ELSE 0 END)).
12,innings_overall,"Compute percentage of balls that are boundaries in an innings (AVG(CASE WHEN batsman_runs IN (4,6) THEN 1 ELSE 0 END))."
13,innings_overall,Compute runs per ball distribution for an innings (frequency of each runs value).
14,innings_overall,Compute batsman_runs distribution for an innings (frequency of each batsman_runs value).
15,innings_overall,Compute the highest runs scored on a single delivery in an innings (MAX(runs)).
16,innings_overall,Compute the highest batsman_runs on a single delivery in an innings (MAX(batsman_runs)).
17,innings_overall,Compute the number of deliveries with implied extras (COUNT where runs <> batsman_runs).
18,innings_overall,Compute the number of deliveries where bowler_runs_given differs from runs (data validation).
19,innings_overall,Compute the number of deliveries where batsman_fours=1 but batsman_runs<>4 (data validation).
20,innings_overall,Compute the number of deliveries where batsman_sixes=1 but batsman_runs<>6 (data validation).
21,over_level,List total runs scored in each over (GROUP BY FLOOR(overs)).
22,over_level,List total batsman_runs in each over.
23,over_level,List implied extras in each over.
24,over_level,List boundary balls in each over.
25,over_level,List dot balls in each over (runs=0).
26,over_level,Find the highest scoring over in an innings (ORDER BY over_runs DESC LIMIT 1).
27,over_level,Find the lowest scoring over in an innings (ORDER BY over_runs ASC LIMIT 1).
28,over_level,Count maiden overs in an innings (overs where SUM(runs)=0).
29,over_level,Count overs with at least one boundary ball (SUM(boundary_flag)>0).
30,over_level,Count overs with at least two boundary balls.
31,over_level,Count overs with at least one six.
32,over_level,Count overs with at least one four.
33,over_level,Count overs with at least {k} runs.
34,over_level,Count overs with at most {k} runs.
35,over_level,Find overs where implied extras exceed {k}.
36,over_level,Find overs where dot-ball percentage is above {k}% (within-over dot rate).
37,over_level,Find overs where boundary percentage is above {k}% (within-over boundary rate).
38,over_level,Find overs where a wicket fell (wicket event inferred from bowler_wickets change).
39,over_level,Find overs that contain both a wicket and at least one boundary.
40,over_level,Compute runs scored in the last over (max over number).
41,over_level,Compute runs scored in the first over.
42,over_level,Compute cumulative team_runs at the end of each over (MAX(team_runs) per over).
43,over_level,Compute the over number where team_runs first exceeds {k}.
44,over_level,Compute the over number where team_runs reaches its maximum (end of innings marker).
45,phase_analysis,Compute team total runs in powerplay overs {over_start}-{over_end}.
46,phase_analysis,Compute team total runs in middle overs {over_start}-{over_end}.
47,phase_analysis,Compute team total runs in death overs {over_start}-{over_end}.
48,phase_analysis,Compute team run rate in powerplay overs {over_start}-{over_end}.
49,phase_analysis,Compute team run rate in death overs {over_start}-{over_end}.
50,phase_analysis,Compute team dot-ball percentage in powerplay overs {over_start}-{over_end}.
51,phase_analysis,Compute team boundary-ball percentage in death overs {over_start}-{over_end}.
52,phase_analysis,Compute total fours in powerplay overs {over_start}-{over_end}.
53,phase_analysis,Compute total sixes in death overs {over_start}-{over_end}.
54,phase_analysis,Compute implied extras in death overs {over_start}-{over_end}.
55,phase_analysis,Compute wickets taken in powerplay overs {over_start}-{over_end} (wicket event inferred).
56,phase_analysis,Compute wickets taken in death overs {over_start}-{over_end} (wicket event inferred).
57,phase_analysis,Compare run rates across phases (powerplay vs middle vs death) for an innings.
58,phase_analysis,Identify which phase has the highest boundary percentage for an innings.
59,phase_analysis,Identify which phase has the highest dot-ball percentage for an innings.
60,batsman_agg,Compute batsman total runs (SUM(batsman_runs)) for each batsman (GROUP BY batsman).
61,batsman_agg,Compute total runs (SUM(batsman_runs)) for {batsman}.
62,batsman_agg,Compute batsman balls faced (COUNT(*)) for each batsman (GROUP BY batsman).
63,batsman_agg,Compute balls faced (COUNT(*)) for {batsman}.
64,batsman_agg,Compute batsman strike rate (100*SUM(batsman_runs)/COUNT(*)) for each batsman (GROUP BY batsman).
65,batsman_agg,Compute strike rate (100*SUM(batsman_runs)/COUNT(*)) for {batsman}.
66,batsman_agg,Compute batsman fours hit (SUM(batsman_fours)) for each batsman (GROUP BY batsman).
67,batsman_agg,Compute fours hit (SUM(batsman_fours)) for {batsman}.
68,batsman_agg,Compute batsman sixes hit (SUM(batsman_sixes)) for each batsman (GROUP BY batsman).
69,batsman_agg,Compute sixes hit (SUM(batsman_sixes)) for {batsman}.
70,batsman_agg,Compute batsman boundary balls (SUM(batsman_fours + batsman_sixes)) for each batsman (GROUP BY batsman).
71,batsman_agg,Compute boundary balls (SUM(batsman_fours + batsman_sixes)) for {batsman}.
72,batsman_agg,Compute batsman dot balls faced (SUM(CASE WHEN batsman_runs=0 THEN 1 ELSE 0 END)) for each batsman (GROUP BY batsman).
73,batsman_agg,Compute dot balls faced (SUM(CASE WHEN batsman_runs=0 THEN 1 ELSE 0 END)) for {batsman}.
74,batsman_agg,Compute batsman singles (SUM(CASE WHEN batsman_runs=1 THEN 1 ELSE 0 END)) for each batsman (GROUP BY batsman).
75,batsman_agg,Compute singles (SUM(CASE WHEN batsman_runs=1 THEN 1 ELSE 0 END)) for {batsman}.
76,batsman_agg,Compute batsman twos (SUM(CASE WHEN batsman_runs=2 THEN 1 ELSE 0 END)) for each batsman (GROUP BY batsman).
77,batsman_agg,Compute twos (SUM(CASE WHEN batsman_runs=2 THEN 1 ELSE 0 END)) for {batsman}.
78,batsman_agg,Compute batsman threes (SUM(CASE WHEN batsman_runs=3 THEN 1 ELSE 0 END)) for each batsman (GROUP BY batsman).
79,batsman_agg,Compute threes (SUM(CASE WHEN batsman_runs=3 THEN 1 ELSE 0 END)) for {batsman}.
80,batsman_agg,Compute batsman average runs per ball (AVG(batsman_runs)) for each batsman (GROUP BY batsman).
81,batsman_agg,Compute average runs per ball (AVG(batsman_runs)) for {batsman}.
82,batsman_agg,Compute batsman implied extra benefit (SUM(runs - batsman_runs)) while on strike for each batsman (GROUP BY batsman).
83,batsman_agg,Compute implied extra benefit (SUM(runs - batsman_runs)) while on strike for {batsman}.
84,batsman_patterns,Rank batsmen by total runs in an innings.
85,batsman_patterns,Return the top {k} batsmen by total runs.
86,batsman_patterns,Return the top {k} batsmen by strike rate with at least {min_balls} balls faced.
87,batsman_patterns,Return batsmen with strike rate above {k} and at least {min_balls} balls faced.
